epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
1,0.0010000000474974513,0.2022473,0.0635717,0.0641752,3.8013356,7.0811329
2,0.0010000000474974513,0.1790194,0.0548906,0.0576946,3.3501551,6.4327044
3,0.0010000000474974513,0.1656911,0.0502493,0.0537942,3.0943346,6.0184965
4,0.0010000000474974513,0.1562452,0.0467890,0.0512042,2.9236321,5.7142553
5,0.0010000000474974513,0.1490690,0.0442066,0.0492361,2.7889557,5.4871154
6,0.0010000000474974513,0.1429053,0.0417919,0.0478455,2.6910486,5.2607245
7,0.0010000000474974513,0.1372220,0.0394737,0.0464999,2.5965323,5.0786448
8,0.0010000000474974513,0.1338675,0.0384237,0.0454935,2.5346217,4.9539227
9,0.0010000000474974513,0.1300293,0.0369673,0.0444993,2.4650402,4.8338523
10,0.0010000000474974513,0.1266406,0.0355197,0.0436766,2.4114580,4.7301259
11,0.0010000000474974513,0.1243018,0.0348288,0.0429111,2.3670025,4.6446357
12,0.0010000000474974513,0.1216069,0.0342162,0.0412287,2.3167202,4.5751333
13,0.0010000000474974513,0.1156289,0.0330920,0.0360249,2.2103884,4.4812903
14,0.0010000000474974513,0.1106054,0.0334935,0.0309247,2.0801284,4.3496728
15,0.0010000000474974513,0.1055845,0.0328110,0.0276610,1.9656038,4.2084131
16,0.0010000000474974513,0.1021909,0.0320767,0.0260069,1.8912295,4.1059957
17,0.0010000000474974513,0.1001506,0.0318768,0.0248349,1.8390064,4.0387750
18,0.0010000000474974513,0.0977569,0.0313309,0.0237680,1.7864782,3.9635777
19,0.0010000000474974513,0.0958706,0.0308331,0.0229908,1.7481179,3.9028850
20,0.0010000000474974513,0.0948636,0.0306200,0.0226162,1.7248963,3.8659658
21,0.0010000000474974513,0.0931695,0.0302379,0.0218882,1.6885340,3.8085423
22,0.0010000000474974513,0.0916956,0.0298320,0.0213353,1.6566410,3.7638073
23,0.0010000000474974513,0.0900954,0.0292190,0.0207963,1.6300771,3.7181461
24,0.0010000000474974513,0.0893099,0.0290327,0.0205073,1.6145400,3.6864703
25,0.0010000000474974513,0.0880837,0.0286788,0.0200656,1.5893946,3.6472490
26,0.0010000000474974513,0.0873133,0.0286151,0.0196746,1.5677121,3.6207411
27,0.0010000000474974513,0.0863034,0.0283242,0.0192945,1.5490741,3.5851307
28,0.0010000000474974513,0.0851424,0.0278064,0.0190113,1.5303724,3.5535350
29,0.0010000000474974513,0.0846950,0.0278345,0.0188349,1.5174139,3.5260017
30,0.0010000000474974513,0.0836701,0.0274586,0.0185061,1.4976281,3.4991570
31,0.0010000000474974513,0.0829960,0.0272934,0.0181876,1.4861088,3.4738731
32,0.0010000000474974513,0.0822325,0.0270389,0.0180507,1.4713961,3.4424429
33,0.0010000000474974513,0.0809407,0.0265243,0.0176323,1.4465731,3.4145803
34,0.0010000000474974513,0.0802805,0.0263610,0.0173964,1.4365379,3.3818834
35,0.0010000000474974513,0.0801236,0.0265014,0.0172732,1.4269360,3.3687840
36,0.0010000000474974513,0.0792816,0.0260384,0.0171143,1.4169441,3.3474181
37,0.0010000000474974513,0.0790051,0.0261774,0.0168780,1.4048842,3.3307660
38,0.0010000000474974513,0.0783839,0.0258957,0.0168106,1.3947845,3.3087592
39,0.0010000000474974513,0.0775258,0.0255829,0.0165536,1.3779651,3.2852488
40,0.0010000000474974513,0.0770881,0.0254326,0.0164114,1.3713846,3.2684216
41,0.0010000000474974513,0.0765342,0.0253105,0.0162128,1.3590006,3.2474563
42,0.0010000000474974513,0.0762191,0.0253102,0.0160858,1.3502034,3.2304077
43,0.0010000000474974513,0.0753888,0.0249177,0.0158748,1.3367214,3.2118356
44,0.0010000000474974513,0.0751648,0.0248939,0.0158547,1.3327920,3.1930816
45,0.0010000000474974513,0.0747122,0.0248223,0.0156472,1.3203425,3.1801620
46,0.0010000000474974513,0.0741031,0.0243675,0.0155915,1.3174187,3.1684299
47,0.0010000000474974513,0.0737314,0.0243388,0.0154578,1.3077761,3.1495810
48,0.0010000000474974513,0.0734968,0.0243876,0.0152956,1.3007294,3.1357834
49,0.0010000000474974513,0.0730763,0.0242543,0.0151946,1.2924583,3.1196883
50,0.0010000000474974513,0.0723008,0.0238935,0.0150717,1.2798077,3.0963559
51,0.0005000000237487257,0.0667967,0.0223058,0.0140133,1.1522956,2.8856964
52,0.0005000000237487257,0.0654898,0.0219046,0.0137181,1.1231154,2.8398938
53,0.0005000000237487257,0.0651237,0.0216631,0.0137629,1.1205429,2.8244250
