epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
1,0.0010000000474974513,0.2106391,0.0809762,0.0521000,3.8383486,6.5768332
2,0.0010000000474974513,0.2006777,0.0758009,0.0503169,3.6875072,6.3436594
3,0.0010000000474974513,0.1932260,0.0724224,0.0484850,3.5598266,6.1661749
4,0.0010000000474974513,0.1849276,0.0696805,0.0446171,3.4003193,5.9904928
5,0.0010000000474974513,0.1760115,0.0679078,0.0399229,3.1758478,5.7864065
6,0.0010000000474974513,0.1680465,0.0652269,0.0370447,3.0007346,5.6123667
7,0.0010000000474974513,0.1629094,0.0638278,0.0350457,2.8766897,5.4868908
8,0.0010000000474974513,0.1586250,0.0625391,0.0335755,2.7746611,5.3825645
9,0.0010000000474974513,0.1543934,0.0611156,0.0322510,2.6796167,5.2797241
10,0.0010000000474974513,0.1504616,0.0597216,0.0310783,2.5939324,5.1845832
11,0.0010000000474974513,0.1470918,0.0585530,0.0300908,2.5230684,5.0925512
12,0.0010000000474974513,0.1448523,0.0580021,0.0292913,2.4681077,5.0261602
13,0.0010000000474974513,0.1420442,0.0568885,0.0285908,2.4120016,4.9543400
14,0.0010000000474974513,0.1400431,0.0561443,0.0279983,2.3731098,4.9004245
15,0.0010000000474974513,0.1376796,0.0552979,0.0273200,2.3230507,4.8393965
16,0.0010000000474974513,0.1354264,0.0544049,0.0266922,2.2814782,4.7790866
17,0.0010000000474974513,0.1339812,0.0539319,0.0262640,2.2526195,4.7325983
18,0.0010000000474974513,0.1320138,0.0531742,0.0257426,2.2129848,4.6819053
19,0.0010000000474974513,0.1298212,0.0522151,0.0251991,2.1729724,4.6303353
20,0.0010000000474974513,0.1288334,0.0520728,0.0248075,2.1500897,4.5864468
21,0.0010000000474974513,0.1268736,0.0512093,0.0243652,2.1133845,4.5401325
22,0.0010000000474974513,0.1257537,0.0508642,0.0239677,2.0894425,4.5091915
23,0.0010000000474974513,0.1244617,0.0503645,0.0236743,2.0660405,4.4671249
24,0.0010000000474974513,0.1235811,0.0502673,0.0233065,2.0415401,4.4339166
25,0.0010000000474974513,0.1221475,0.0495577,0.0230222,2.0210283,4.3947330
26,0.0010000000474974513,0.1211337,0.0493050,0.0226907,1.9960539,4.3631616
27,0.0010000000474974513,0.1195312,0.0484305,0.0223611,1.9750766,4.3277450
28,0.0010000000474974513,0.1190872,0.0485546,0.0220789,1.9577757,4.3037987
29,0.0010000000474974513,0.1179898,0.0480823,0.0218720,1.9389752,4.2695255
30,0.0010000000474974513,0.1169250,0.0475199,0.0216245,1.9254085,4.2445107
31,0.0010000000474974513,0.1161436,0.0472699,0.0214379,1.9092927,4.2164817
32,0.0010000000474974513,0.1151163,0.0469553,0.0211205,1.8862915,4.1866431
33,0.0010000000474974513,0.1144868,0.0467903,0.0208938,1.8721777,4.1666889
34,0.0010000000474974513,0.1138245,0.0465484,0.0207450,1.8584272,4.1466808
35,0.0010000000474974513,0.1132031,0.0463226,0.0206051,1.8475298,4.1236124
36,0.0010000000474974513,0.1119728,0.0457139,0.0203479,1.8273771,4.0963302
37,0.0010000000474974513,0.1116494,0.0456841,0.0202209,1.8193674,4.0806727
38,0.0010000000474974513,0.1108404,0.0453554,0.0200417,1.8043718,4.0568647
39,0.0010000000474974513,0.1099338,0.0450228,0.0198258,1.7856857,4.0303736
40,0.0010000000474974513,0.1095979,0.0449672,0.0196669,1.7778738,4.0184388
41,0.0010000000474974513,0.1092402,0.0448886,0.0195502,1.7727166,3.9979515
42,0.0010000000474974513,0.1087683,0.0448229,0.0194008,1.7582492,3.9816201
43,0.0010000000474974513,0.1083510,0.0446342,0.0192774,1.7527153,3.9695609
44,0.0010000000474974513,0.1074001,0.0442104,0.0191166,1.7345589,3.9447207
45,0.0010000000474974513,0.1070953,0.0440915,0.0190267,1.7303656,3.9336069
46,0.0010000000474974513,0.1058610,0.0434731,0.0188017,1.7088847,3.9076841
47,0.0010000000474974513,0.1059164,0.0435899,0.0188080,1.7108212,3.8943260
48,0.0010000000474974513,0.1050122,0.0432190,0.0185701,1.6939510,3.8712447
49,0.0010000000474974513,0.1050367,0.0434297,0.0184901,1.6887202,3.8615980
50,0.0010000000474974513,0.1042346,0.0429643,0.0183673,1.6777900,3.8457198
51,0.0005000000237487257,0.0974497,0.0404420,0.0173824,1.5309958,3.6216631
52,0.0005000000237487257,0.0959307,0.0397491,0.0171455,1.5047152,3.5768900
53,0.0005000000237487257,0.0950846,0.0393988,0.0169937,1.4897345,3.5489752
54,0.0005000000237487257,0.0946528,0.0393044,0.0168987,1.4783776,3.5319242
55,0.0005000000237487257,0.0942274,0.0391309,0.0168273,1.4703975,3.5181286
56,0.0005000000237487257,0.0935742,0.0388804,0.0167055,1.4591931,3.4933026
57,0.0005000000237487257,0.0934626,0.0389002,0.0166611,1.4548050,3.4870982
58,0.0005000000237487257,0.0932968,0.0389471,0.0165751,1.4474210,3.4786055
59,0.0005000000237487257,0.0927948,0.0386773,0.0165329,1.4413196,3.4616320
60,0.0005000000237487257,0.0925161,0.0384821,0.0165020,1.4381710,3.4586668
61,0.0005000000237487257,0.0925481,0.0387171,0.0164396,1.4314500,3.4484825
62,0.0005000000237487257,0.0922630,0.0385570,0.0164047,1.4299175,3.4363959
63,0.0005000000237487257,0.0916510,0.0382619,0.0162821,1.4196562,3.4218688
64,0.0005000000237487257,0.0915664,0.0382137,0.0162674,1.4180950,3.4210472
65,0.0005000000237487257,0.0912789,0.0381363,0.0161893,1.4125977,3.4084196
66,0.0005000000237487257,0.0910537,0.0379991,0.0161756,1.4091537,3.4041514
67,0.0005000000237487257,0.0909237,0.0380129,0.0161313,1.4069465,3.3916202
68,0.0005000000237487257,0.0907831,0.0379231,0.0161362,1.4051760,3.3877535
69,0.0005000000237487257,0.0905754,0.0379192,0.0160382,1.3979306,3.3811433
70,0.0005000000237487257,0.0905472,0.0379496,0.0160208,1.3961676,3.3778276
71,0.0005000000237487257,0.0898573,0.0374767,0.0159689,1.3897713,3.3642716
72,0.0005000000237487257,0.0898094,0.0375641,0.0159188,1.3874153,3.3535278
73,0.0005000000237487257,0.0897981,0.0376258,0.0158950,1.3838844,3.3523674
74,0.0005000000237487257,0.0895556,0.0374926,0.0158426,1.3816097,3.3453500
75,0.0005000000237487257,0.0894160,0.0374817,0.0157920,1.3757226,3.3432043
76,0.0002500000118743628,0.0863598,0.0363778,0.0154256,1.3113974,3.2283177
77,0.0002500000118743628,0.0859655,0.0363210,0.0153704,1.2998627,3.2087584
78,0.0002500000118743628,0.0856937,0.0361819,0.0153453,1.2973056,3.1970992
79,0.0002500000118743628,0.0854353,0.0360809,0.0153012,1.2919203,3.1893134
80,0.0002500000118743628,0.0850068,0.0358663,0.0152526,1.2859274,3.1750467
81,0.0002500000118743628,0.0848199,0.0357698,0.0152238,1.2836258,3.1691184
82,0.0002500000118743628,0.0847169,0.0358112,0.0151896,1.2781881,3.1625671
83,0.0002500000118743628,0.0845977,0.0357430,0.0151789,1.2764871,3.1596839
84,0.0002500000118743628,0.0843851,0.0356708,0.0151409,1.2720904,3.1517866
