epoch,learning_rate,loss,mask_loss,vertex_loss,proxy_loss,keypoint_loss
64,0.0005000000237487257,0.0595129,0.0185133,0.0129869,1.0562021,2.6661353
65,0.0005000000237487257,0.0593102,0.0183680,0.0129134,1.0529809,2.6700947
66,0.0005000000237487257,0.0591630,0.0183441,0.0128972,1.0507966,2.6583419
67,0.0005000000237487257,0.0591128,0.0184638,0.0128066,1.0470231,2.6486387
68,0.0005000000237487257,0.0588280,0.0183845,0.0127033,1.0388751,2.6441090
69,0.0005000000237487257,0.0586457,0.0183028,0.0126930,1.0374005,2.6336310
70,0.0005000000237487257,0.0584039,0.0182679,0.0126136,1.0307002,2.6241114
71,0.0005000000237487257,0.0581015,0.0181390,0.0126007,1.0273656,2.6073959
72,0.0005000000237487257,0.0581986,0.0182340,0.0125735,1.0276631,2.6089990
73,0.0005000000237487257,0.0579972,0.0180850,0.0125440,1.0266252,2.6058271
74,0.0005000000237487257,0.0576886,0.0179801,0.0124592,1.0201579,2.5966625
75,0.0005000000237487257,0.0576565,0.0180334,0.0124579,1.0184888,2.5881054
76,0.0002500000118743628,0.0551940,0.0173999,0.0120228,0.9603232,2.4825785
77,0.0002500000118743628,0.0547196,0.0172682,0.0119755,0.9509472,2.4570804
78,0.0002500000118743628,0.0542312,0.0171338,0.0118419,0.9397423,2.4400465
79,0.0002500000118743628,0.0542645,0.0172441,0.0118182,0.9386825,2.4330101
80,0.0002500000118743628,0.0541442,0.0171689,0.0118267,0.9364389,2.4307947
81,0.0002500000118743628,0.0538991,0.0170966,0.0117552,0.9314172,2.4219553
82,0.0002500000118743628,0.0538286,0.0170029,0.0117891,0.9315662,2.4225256
83,0.0002500000118743628,0.0534883,0.0169799,0.0116751,0.9226813,2.4043846
84,0.0002500000118743628,0.0532307,0.0168647,0.0116164,0.9187061,2.3967586
85,0.0002500000118743628,0.0535795,0.0170525,0.0116795,0.9229193,2.4061875
86,0.0002500000118743628,0.0531364,0.0168637,0.0115871,0.9163810,2.3905172
87,0.0002500000118743628,0.0530409,0.0167957,0.0115645,0.9143526,2.3925211
88,0.0002500000118743628,0.0531070,0.0168300,0.0115965,0.9150417,2.3932989
89,0.0002500000118743628,0.0530137,0.0168107,0.0115730,0.9147196,2.3851221
90,0.0002500000118743628,0.0527217,0.0167101,0.0115133,0.9081419,2.3761392
91,0.0001250000059371814,0.0518595,0.0166450,0.0113799,0.8841290,2.3232453
92,0.0001250000059371814,0.0515276,0.0164548,0.0113427,0.8805101,2.3133712
93,0.0001250000059371814,0.0513024,0.0164232,0.0113068,0.8731033,2.3041635
94,0.0001250000059371814,0.0511916,0.0163637,0.0112894,0.8745947,2.2948804
95,0.0001250000059371814,0.0509727,0.0162443,0.0112341,0.8709494,2.2924488
96,0.0001250000059371814,0.0511921,0.0164756,0.0112415,0.8684058,2.2956805
97,0.0001250000059371814,0.0509523,0.0163143,0.0112323,0.8668853,2.2883573
98,0.0001250000059371814,0.0508685,0.0162835,0.0111985,0.8663398,2.2843952
99,0.0001250000059371814,0.0507844,0.0162923,0.0111743,0.8634962,2.2789328
100,0.0001250000059371814,0.0508818,0.0163150,0.0112188,0.8650172,2.2831662
